heading,description
"Opp members in House panel seek more time, three send dissent notes","Trinamool Congress MP Derek O’Brien, a member of the panel, is also said to have written to the panel’s chairman Brij Lal, urging him to seek an extension of three months from Rajya Sabha Chairman Jagdeep Dhankhar for submitting the reports."
Panel likely to seek redraft of provisions on organised crime,Experts say the scope of organised crime in proposed law much wider
"JD(S) Kerala unit denies links with BJP, drops new party plan","Apart from Thomas, JD(S) legislator K Krishnankutty is the power minister in the LDF cabinet."
Ex-CM Rawat takes a dig at ‘friends in CBI’ for serving him summons at hospital,"In the notice, the CBI said that in pursuance of the order dated July 17 passed by the Special Judge, Anti-Corruption (CBI), Dehradun, Rawat is directed to appear at its New Delhi office on November 6 to give his voice samples."
Delhi explores legal and diplomatic options after Qatar death sentence,Embassy taps top lawyers in Doha; FT reports 8 charged with spying for Israel
"Kin shattered, but not losing hope: Friends and colleagues of 8 former Navy personnel handed death penalty in Qatar","“They are shattered and they fear the uncertainty that lies ahead. They are obviously going to explore options, including filing a legal appeal in this judgment,” a former senior military officer, close to the families of two of the ex-naval personnel involved, said."
Laptops to cattle dung in Gehlot’s poll promise list,"The schemes cover the major demographics of school and college students, farmers, and government employees."
‘Concocted story’: Temple priest rejects Priyanka’s ‘envelope’ remark on Modi,The Election Commission on Thursday issued a show-cause notice to the Congress general secretary over her “envelope” remarks related to the Prime Minister's temple visit. The action came a day after the BJP filed a complaint against her.
"PM Modi ‘privileged’ to get Ram Mandir consecration ritual invite, lauds spiritual leader’s role in temple","Speaking at a public function at Tulsi Peeth of Jagadguru Rambhadracharya, Modi said that “in the thousand years of slavery, various attempts were made to uproot India in different ways” and one of these was the “complete destruction of Sanskrit”."
"Gem-set, enamelled Tipu Sultan sword sells for GBP 100,800 at auction in the UK","The set of swords, previously unrecorded, come from the collection of Charles, the 1st Marquess and 2nd Earl Cornwallis, a central figure in the consolidation of British authority in India after the death of Tipu Sultan at the fall of Seringapatam (Srirangapatna) in 1799."
HC refuses Kerala MLA Ganesh Kumar’s plea to quash solar conspiracy case,HC bench says directive in interest of late Oommen Chandy’s soul
J&K gets a new police chief,"Quoting approval of the competent authority, an order issued by B G Krishnan, Director (S) in the Ministry of Home Affairs, reads that “Swain, presently posted as Special DG, CID, Jammu & Kashmir, will also function as in-charge Director General of Police in addition to his existing charge until further orders”"
Mukhtar Ansari gets 10-year jail in 2010 Gangsters Act case,This is sixth case in which the former five-time Uttar Pradesh MLA has been convicted in one year.
"Jamiat concerned over Modi’s expected participation in Ram Temple ceremony, says PM should avoid such events","This comes days after the Shri Ram Janmabhoomi Teerth Kshetra invited Modi for the consecration ceremony, which is expected to take place on January 22."
"New Bills replacing IPC, CrPC, Evidence Act will be passed soon: Union Home Minister Amit Shah","""The purpose of the old laws was to safeguard the government but the purpose of the new laws is to safeguard the rights of the public and to eliminate obstacles in the people's access to those rights,"" Shah said."
IAF to hold Agniveer Vayu camps in Bihar schools,"The IAF will start by conducting camps in schools in Purnia, Supaul, Araria and Kishanganj, dates for which are yet to be finalised."
"For forced conversion of national-level shooter that ‘ended her career’, man handed life term by Ranchi court","The convicted man's mother was handed a 10-year jail term, and judicial officer a 15-year jail term."
"PM eBus Sewa: Tenders for 3,000 electric buses for small cities soon",The PM e-Bus Sewa had found a mention in the India-United States joint statement released after the meeting of US President Joe Biden with Prime Minister Narendra Modi on the sidelines of the G20 Summit in September.
"Clash in Bihar town during religious procession, internet suspended for two days","According to the police, the trouble erupted in the Bhagwan Bazar locality of Chhapra, which is the headquarters of Saran district, when a procession for immersion of Goddess Durga's idols was being taken out."
Assam govt order: Employees can’t enter second marriage without permission,The Assam government in a recent order had barred its employees from marrying another person if the spouse is alive and warned of punitive action if they indulged in bigamy.
"Can appear only after Nov 5, let me cross-examine Hiranandani: Moitra to ethics panel amid cash-for-query allegations",TMC MP Mahua Moitra who has been asked to depose before the panel on October 31 has claimed that the summons were announced to the media before she received her official letter.
Delhi’s air quality poor for fifth consecutive day; Mumbai’s AQI remains in ‘moderate’ category,"Delhi's air quality was categorised as 'poor' for the fifth consecutive day as of Friday, and it is anticipated to further decline in the upcoming days due to adverse meteorological conditions, as reported by monitoring agencies."
Shashi Tharoor refers Hamas as terrorists at IUML pro-Palestine rally,It may be recalled that the CWC in a resolution on October 9 had reaffirmed its support to the Palestinian cause without mentioning the October 7 attack carried out by Hamas on Israel.
"India heading towards groundwater depletion tipping point, warns UN report",The report 'Interconnected Disaster Risks Report 2023' has found that 27 of the world’s 31 major aquifers are depleting faster than they can be replenished.
"Gujarat HC removes clip of judge outburst, asks YouTube to take down apology too","Justice Biren Vaishnav upbraided Justice Mauna Bhatt, later said ‘I was wrong’"
Land warfare will remain important: Army Chief on lessons from Ukraine,"The centrality of national interest remains paramount amid the ongoing flux where the salience of national security is continuously increasing in the international system, said the Army Chief."
Centre launches hackathon to detect ‘dark patterns’ on e-commerce platforms,"“The objective of the initiative is to design an innovative app or software-based solution that can provide protection to consumers from all types of unfair trade practices,” the Department of Consumer Affairs said in a statement."
"Congress declares 19 more Rajasthan names; win some, lose some for Ashok Gehlot","Three who were part of 2022 defiance of high command by CM kept out yet again; Sachin Pilot says he has put past behind, but expects elected MLAs to decide new leader"
"3, including 2 BSF jawans, injured as Pak Rangers open fire along border in J&K’s Arnia, RS Pura sectors","Pakistani Rangers initially targeted nearly half a dozen locations and around midnight they started firing at two to three places adjoining the Suchetgarh sector as well, sources said."
New co-op society BBSSL to provide scientifically produced certified seeds to farmers,Increasing seed production through cooperatives will help India boost its global market share: Shah
Manipur minister Basanta Kumar says 98% of displaced students given free admission,"According to Singh, around 15,915 displaced students were registered at 347 relief camps and 15,641 of them have been re-admitted to nearby schools."
"EC serves notice to Himanta, Priyanka for poll code violation","While Assam CM Himanta was served EC notice over 'Akbar' remarks, Congress leader Priyanka Gandhi got the notice on a complaint that she made false claims that PM Modi donated only Rs 21 to a temple"
"To track criminal cases across Uttar Pradesh, app goes live today","Speaking to The Indian Express, Additional Director General (Prosecution), Dipesh Juneja said the need for the app was felt after it became difficult for the directorate to keep a tab on cases lodged in different districts."
Mamata Banerjee slams BJP for ‘harassing’ TMC ministers with ED raids: ‘How many will you send to jail?’,West Bengal CM Mamata Banerjee asked why a single BJP leader’s house had not been raided amid ED raids premises of Opposition party leaders
"Mehbooba Mufti re-elected PDP chief for fourth time, blows bugle for LS polls","Mehbooba Mufti (64), who has been instrumental in the formation of the PDP together with her father Mufti Mohammad Sayeed, was for the first time elected party president in 2003."
The 8 ex-Navy men handed death sentence in Qatar,They were all employees of Doha-based Dahra Global and were taken into custody in August 2022
"Qatar hands death penalty to 8 former Indian Navy men, Govt explores legal options",Charges never made public; Arrested men worked for firm overseeing submarine induction.
"EAM Jaishankar calls on SCO nations to strictly adhere to principles of international law, respecting sovereignty of each other","Jaishankar said that the India-Middle East-Europe Economic Corridor (IMEC) and the International North-South Transport Corridor (INSTC) could become ""prosperity enablers."
5 militants killed at LoC while trying to infiltrate: J&K Police,Security agencies have warned that militants would be trying to cross the LoC before the winter snow shuts down routes.
"Chhattisgarh police say Maoists have claimed BJP functionary’s murder, fifth this year",The police are also investigating BJP’s claim that the tribal man was shot dead for worshipping Durga by tribals who do not identify as Hindus.
"Jharkhand education council adds more schools, districts to school safety hub","For implementation, the state government and Aangan have now entered into an agreement."
"1,000 temples razed by Portuguese, asserts Goa minister, but panel says restoring all not ‘feasible’","The 10-page preliminary report of the committee, submitted to the government, revealed that most of the sites where temples were destroyed were in Tiswadi, Bardez and Salcete talukas, The Indian Express has learnt."
Include youth to fight drug menace: National Conference report,"Party leaders who participated in the formulation of the report stated “in order to make a meaningful and positive impact, we must create groups of party workers including youth at the constituency-level.”"
Film reviewers booked in Kerala after director claims they ‘tarnished’ his movie,"The Kochi City Police acted on a complaint filed by Ubaini E, director of the film Rahel Makan Kora. The FIR was registered under section 385 (extortion) and section 120 (o) of the Kerala Police Act."
Time for India to proscribe Hamas as terror group: Israeli envoy,"The Israeli envoy, at an interaction with journalists, also thanked India for its “100 per cent” support to Israel in its anti-terror operations against Hamas."
"Ground reality of UP’s unfinished health centres: Cow dung, police quarters, sugarcane fields","As per government regulations, 15 staff members should be deployed at a PHC. The two structures missing doors and windows have been left abandoned for years, say locals."
"SC to Judges: Follow roster, taking unassigned cases gross impropriety","The appellant, Ambalal Parihar, at whose instance six FIRs were registered against the accused, claimed before the apex court that a civil writ petition was filed to avoid the roster judge who had not granted interim relief."
"Delhi dials down, restores some visa services in Canada","Visa services for categories such as entry, business, medical, conference resume today, but not tourists"
"Dodgy finance, missing infrastructure: Over 200 ailing health centres on UP govt radarPremium Story","More than 80% were commissioned before Yogi govt came to power, SIT set up in several cases"
"Contours of joint theatre commands ready, await Govt nod before tweaks","One each for Pak,  China frontiers, third for threat via sea; early talks on a fourth"
BJP goes to EC against Priyanka’s remarks on PM Modi’s temple visit,"Priyanka, the BJP complaint says, told the gathering that she had seen on TV –  and that she did not know whether it was true or not –  that PM Modi visited the Devnarain temple and offered an envelope, which later was found to have contained just Rs 21."
PM to attend consecration ceremony of Lord Ram idols at Ayodhya’s Ram temple in Jan 2024,"In a post on X, Modi said the office bearers of Shri Ram Janmbhoomi Teerth Kshetra Trust have invited him to come to Ayodhya on the occasion of the consecration of idols in the Ram temple."
"PM Modi gets invitation for Ram temple consecration ceremony, says ‘feeling blessed’","""Jai Siyaram! Today is full of emotions for me,"" the prime minister said, posting about the invitation to him, on social media platform X."
"Law Commission meets Kovind committee on  one-nation, one-poll","The committee, in its second meeting, launches website for receiving feedback"
India resumes visa services in Canada for select categories amid diplomatic row,The resumption comes over a month after New Delhi suspended Indian visa services in Canada after Canadian Prime Minister Justin Trudeau alleged a potential Indian government link in the killing of Khalistan separatist Hardeep Singh Nijjar.
Shillong hosts conclave aimed at promoting responsible tourism in Northeast,"Powered by Indian Express Online Media, the Green Tourism India Conclave shed light on the importance of embracing sustainable travel practices with particular focus on the Northeastern region"
‘Petrol bomb’ hurled outside Raj Bhavan’s main gate in Chennai,"The man who threw the petrol bomb was immediately overpowered, they said. A senior police official said the accused is being questioned for the motive in hurling the petrol bomb."
"Rahul Gandhi interviews Satya Pal Malik, asks him about Pulwama, Adani and Manipur","Satya Pal Malik, who was the last governor of Jammu and Kashmir before it was designated as a Union Territory, claimed that the Pulwama attack was used politically by the ruling Bhartiya Janata Party."
The biggest science awards go to… the menPremium Story,"Since 1958, only 20 of the 592 Bhatnagar prizes – among the most prestigious science awards in India – have gone to women scientists. Why the glass ceiling is so hard to punch through"
Four ‘mysterious’ deaths linked to land registry scam in Uttarakhand come on police radar,The alleged scam came to light in July this year after the Dehradun District Magistrate established a committee to investigate some of the registries.
Another suspected shawarma death in Kerala: Man dies of food poisoning after eating dish,Rahul D Nair had been battling for life since Saturday after he was hospitalised with symptoms of food poisoning.
"Cabinet approves Rs 22,303 cr subsidy on P&K fertilisers for Rabi crop season",The decision was informed by Information and Broadcasting Minister Anurag Thakur after the Cabinet meeting.
Cyclone Hamoon weakens into deep depression; northeastern states likely to receive ‘light to moderate’ rainfall,"The IMD also predicted light to moderate rainfall over Manipur, Mizoram, Tripura, south Assam and Meghalaya, Nagaland, Arunachal Pradesh till Thursday."
"Citing absence, Bihar schools strike 20 lakh  off rolls; 1.5 lakh may miss Boards","Officials said the move was aimed at making sure that government resources were efficiently utilised and benefits given to deserving students. It is also aimed at helping streamline the midday meal scheme, and ensuring that school managements don’t fake the presence of students during meal time, officials said."
"Man dies after mob assault near Ramlila venue in UP, two arrested","Irshad Mohammad was on his way to Luhari village when his bike hit another man. An argument over this incident led to a mob attacking him, leading to his death, the police said."
Ex-Uttarakhand CM Harish Rawat suffers ‘mild tremors’ after car collides with divider,"""The doctors said everything was fine"", the leader wrote in a post on X."
"RSS chief Mohan Bhagwat: Ram temple idol consecration Jan 22, hold events everywhere","He spoke on the issue of Manipur, suggesting that the government had done its best to bring about peace, and that “outside forces” were meddling in the state."
"Hospitals collapsing, no water, electricity, body bags: UN agency in Gaza","Speaking to The Indian Express, Abu Hasna, in his 50s, said at least 35 UNRWA staff have been killed since October 7."
CJI Chandrachud: Correcting historical wrongs goal of any constitutional system,"Chief Justice of India D Y Chandrachud called for rejecting the arguments of “caste elites” that “just because affirmative action is being provided, structural issues of discrimination don’t exist any more”."
Bureaucracy overhaul on cards  as senior officers near retirement,"According to sources, around six senior IAS officers and as many IPS officers from the AGMUT cadre (batches 1989-1995) across the country are expected to be part of the reshuffle."
"‘Rath prabharis’: Ex-IAS officer, activist write  to President",They cited a Department of Personnel instruction that asked all ministries to nominate senior officers as “district rath prabharis” for the “Viksit Bharat Sankalp Yatra”.
Para troops deployed in Left-Wing Extremism-hit areas trained to tackle Maoist tactics,An official told The Indian Express that the training programme was held for all paramilitary personnel since many of them will be in Left-Wing Extremism (LWE) areas for the first time and weren't familiar with Maoist tactics
‘Jailer’ actor Vinayakan arrested for creating a ruckus at police station,"Vinayakan was arrested for making trouble at the police station, a senior police officer said."
"‘Day to renew pledges’: PM Modi calls to root out casteism, regionalism","Modi, who was speaking at a Dussehra event organised by the Shri Ramlila Society in Delhi’s Dwarka area, said that the burning of Ravana should not be confined to an effigy but every evil that threatens the social harmony."
2 Myanmar militants held during infiltration bid in Manipur; arms seized,Those arrested belong to the Myanmar-based Chin Kuki Liberation Army (CKLA).
Fashioning new legislative regime for allowing same-sex marriages falls under Parliament’s domain: CJI Chandrachud,"On October 17, a five-judge Constitution bench headed by the CJI unanimously refused to accord legal recognition to same-sex marriage, saying there was ""no unqualified right"" to marriage."
Sri Lanka offers free visas to Indians to revive tourism,"The move is aimed at reviving the country’s fledgling tourism industry and also extends to citizens from six other countries – Russia, China, Thailand, Malaysia, Indonesia and Japan."
‘Are extremists across borders behind Manipur violence?’: RSS chief Mohan Bhagwat at Dussehra rally in Nagpur,RSS chief Mohan Bhagwat urged people to cast their votes in the Lok Saha elections and to vote for those who have worked for the unity and development of the country.
"RSS chief Mohan Bhagwat’s Vijayadashami speech: ‘Vote keeping in mind unity, integrity, identity and development of country’",Singer-composer Shankar Mahadevan was one of the chief guests at the event attended by Union Minister Nitin Gadkari and Maharashtra Deputy Chief Minister Devendra Fadnavis.
Cyclone Hamoon over Bay of Bengal intensifies into ‘severe cyclonic storm’; ‘Tej’ crosses Yemen coast,"Cyclones Tej and Hamoon are considered to be twin cyclones developed over the north Indian ocean. The last such twin cyclones 'Luban' and 'Titli' were recorded in 2018, according the IMD."
Pandal hopping turns tragic in Bihar: 3 dead in stampede at Gopalganj,Residents have cited poor crowd management for the stampede in which at least 10 people were injured.
‘A vote of conscience’: CJI on his verdict in same-sex marriage at US university,"On the lack of agreement between the bench on key issues like recognising civil unions, CJI Chandrachud said, “Three of my colleagues recognised the right but said that we cannot elevate this to a constitutional right."
Malegaon blast: Lok Sabha panel defers hearing of Purohit,"Besides hearing Purohit’s views, the committee was also scheduled to have a “briefing/oral evidence” of the representatives of the Ministry of Defence (Department of Military"
Farmers will get 50% of profit through coop export body: Amit Shah,"About 1,500 cooperatives have become members and with time, Shah said, the National Cooperative Export Limited will also emerge as a successful venture like IFFCO, KRIBHCO and Amul."
Election Commission to look into complaint against  plan to involve officers in yatra on govt’s ‘feat’,"The EC had “just received the complaint” and would “look into it”, a top official said."
No final order on GST to casino firm sans HC nod: Tax dept,"The court also issued a notice to the Centre, saying that a section of the Central Goods and Services Tax Act has been challenged in Delta Corp’s plea against the notices."
SC to hear judge’s plea for expunction of ‘disparaging observations’ against him,"Issuing notice to the NIA, a bench of justices A S Bopanna and P S Narasimha by its October 20 order allowed the request to list the case “without disclosing the identity of the petitioner”."
Consumer body issues notices to IAS coaching centres for ‘misleading’ ads,"Of the four institutes two have deposited penalties, while the other two have approached the court."
"One nation, one election: Law Commission likely to meet Kovind panel tomorrow","In the meeting with the Kovind panel, it is expected to back the idea of holding simultaneous polls and suggest timelines for upcoming election cycles."
New criminal laws report: Two House panel members seek time to study draft,"Chidambaram, Derek, it is learnt, have written to panel chairperson asking him not to rush into adopting the reports"
IIIT Una names Arun Seth as chairman of its advisory council,IIIT Una has nominated Arun Seth as chairman of the Institute's advisory council.
"Concerned over poor national assessment of its colleges, Bihar will conduct its own ranking","According to education department officials, the three-member committee, which will include Education Secretary Baidya Nath Yadav as a member, will assess the performance of all 270 constituent colleges of state universities."
"Another ED case in Chhattisgarh, claims Rs 175 cr kickbacks to ‘higher powers’ in rice milling","The central agency is investigating a fourth alleged corruption case in the poll-bound state ruled by the Congress, which has denied the charges as “politically motivated”"
Centre approves voluntary retirement of powerful Odisha IAS officer V K Pandian,"Pandian, who has been in his existing post since 2011 and has been wielding influence in Odisha’s corridors of power, has recently been in the limelight for his whirlwind tour to different districts using the state chopper."
Deep depression over Bay of Bengal intensifies into cyclone ‘Hamoon’,"The cyclonic storm has been christened 'Hamoon', a name given by Iran."
"Israel-Hamas war: PM Modi speaks to Jordan’s King, shares concerns on terrorsim","Israel has launched an attack on the Hamas-controlled Gaza Strip after militants affiliated to the group killed hundreds, including civilians in large numbers, in an assault on the country."
Jammu and Kashmir govt bars DGP Dilbagh Singh from transferring DSPs on his own,"On April 7, the Home Department had ordered the transfer of 31 DSPs, drawing criticism from some who described it as interference into the functioning of the police force and an attempt to weaken the authority of the J&K Police Chief."
"Even bad Constitution turns out to be good if those running it are good, says CJI, quotes Ambedkar",The CJI highlighted the idea of constitutionalism of Ambedkar was instrumental in transforming Indian society by dismantling deeply entrenched caste hierarchy.
Retired deputy CMO in UP’s Auraiya booked for culpable homicide after boy’s death,The family of a seven-year-old boy who had a fever accused the doctor of medical negligence and said that the boy’s health deteriorated after he was given an injection.
Meet the fashion designer who got band-baaja welcome home after separating with husband,"It was in April last year that Sakshi married a state government employee. Soon after, though, the couple had marital discord — while her husband filed a case alleging mental harassment, she moved for divorce and filed a domestic violence case."
"From Rampur hound to Tibetan mastiff, Indian dog breeds to be deployed in police duties soon",Prime Minister Narendra Modi has in the past spoken about promoting local dog breeds through scientific means.
"Cyclone Hamoon to develop in Bay of Bengal today, storm headed towards Bangladesh","No severe weather, be it in the form of heavy rainfall, strong winds or others, forecast for India's east coast."
"Mahua cleared her stand on bribery charges, TMC waiting for report of Parl panel probe: Derek","BJP MP Nishikant Dubey and lawyer Jai Anant Dehadrai have alleged that Moitra had accepted favours from Hiranandani in exchange for raising questions in Parliament. In response, Moitra filed a defamation suit against them before the Delhi High Court."
"Nawaz Sharif has many hoops to jump, takes leap with signal to India in first speechPremium Story","In insisting that no country can progress while fighting with its neighbours, Sharif, who served thrice before as Prime Minister, made a strong public case for renewed engagement with India."
Govt routes sale of non-basmati white rice to 11 nations via NCEL,"NCEL, an umbrella body for cooperative sector exports registered under the Multi-State Co-operative Societies Act, 2002, was set up on January 25 this year. It has an authorised share capital of Rs 2,000 crore, with Rs 500 crore as the initial paid-up share capital."
India sought diplomatic parity due to Canada’s interference: S Jaishankar,"While he said the India-Canada relationship is going through “a difficult phase”, Jaishankar added that India is looking at resuming visa services for Canadians “very soon” if it sees progress in the safety of its diplomats in Canada."
"One-nation, one-poll: Election Commission says it needs up to a year’s ‘lead time’  for EVMs, VVPATs","The EC is firmly against roping in private manufacturers to increase production capacity, fearing potential damage to the credibility of the electoral process and public faith."
"Modi, ministers wish Amit Shah on birthday","Wishing him a “long life and wonderful health”, the PM tweeted that Shah “He has made a mark as an outstanding administrator, making notable contributions to enhancing India’s security apparatus and further developing the cooperatives sector”."
India-Canada relations going through difficult phase: EAM Jaishankar,"The ties between India and Canada came under severe strain following Canadian Prime Minister Justin Trudeau's allegations last month of a ""potential"" involvement of Indian agents in the killing of Khalistani separatist Hardeep Singh Nijjar in June."
"SC acquits woman accused of killing her newborn child, says no conclusive proof against her","The top court said sentencing someone to life imprisonment requires due appreciation of evidence, and it cannot be done mechanically and in a perfunctory manner."
‘Gross misuse of govt machinery’: Kharge writes to PM Modi questioning bureaucrats’ ‘yatra’ to showcase BJP regime’s achievements,"The Congress president also took objection to an earlier order of the Defence Ministry, directing soldiers on annual leave to spend time to promote government schemes."
Cyclone Tej over Arabian sea intensifies into ‘extremely severe cyclonic storm’: IMD,"IMD also said that the cyclone would ""cross coasts"" between Al Ghaidah (Yemen) and Salalah (Oman) around noon on October 24, as a ""very severe cyclonic storm""."
NCBC to hold hearing on demand of WB govt to include 87 castes in OBC list,"The NCBC said it had recommended that the reservation of OBCs in the state should be increased from 17 per cent to 22 per cent, but till date no positive action has been taken on the recommendation of the commission."
"Amid row, Kerala govt says CM daughter’s IT firm paid IGST for transactions with minerals company","The Department of State Goods and Services Tax on Saturday informed Congress MLA Mathew Kuzhalnadan, who had raised corruption allegations against Veena, that the matter had been verified."
3 Indian Express journalists win Laadli Media Awards,A total of 87 winners and 31 jury appreciation awards out of a total of 857 entries in 13 languages were announced at the awards ceremony held at Rajasthan International Centre.
"PM Modi at Scindia school, heaps praise on Jyotiraditya, his father","With Union ministers Narendra Singh Tomar and Jitendra Singh and Madhya Pradesh Chief Minister Shivraj Singh Chouhan watching, Modi said that he has a special relationship with Gwalior for two reasons."
‘Hope my inputs don’t come in handy’: Ex-Navy officer Abhilash Tomy advises Gaganyaan team on emergency splashdown,"Tomy, who finished second in the Golden Globe Race 2022, becoming the first Asian to complete the non-stop unassisted round-the-world trip in a boat with 1968-vintage technology, gave inputs to the space agency on generating energy, making drinking water and calling for help at sea, but said he hoped these would not need to be put to use."
